EVENTO/ SERVIÇO,CAMPUS,
CONGRESSO,,
"1. VI Congresso Latino-americano de Agroecologia, o X Congresso Brasileiro de Agroecologia e do V Seminário de Agroecologia do Distrito Federal, Brasília, DF, realizado entre os dias 12 a 15 de setembro 2017. ",Almenara,
"2. Olimpíada Brasileira de Robótica (OBR-2017), evento sediado na cidade de Mato Verde, Minas Gerais, realizado entre os dias 24 e 26 de agosto de 2017. ",Almenara,
3. Congresso Nacional de Educação. ,Almenara,
"1. Campus Diamantina se reúne para ouvir e debater assuntos relacionados às proposições pedagógicas e aos aspectos físicos, organizacionais, ambientais e acadêmicos do Campus. ",Diamantina,
"2. A semana de Ciência e Tecnologia visa aproximar a sociedade do que é produzido no meio estudantil e acadêmico. A 14? edição aconteceu entre 25 e 28 de outubro, com o tema ""A Matemática está em tudo"".",Diamantina,
"3. O IFNMG Campus Diamantina ofereceu palestras e oficinas como parte de uma programação diversificada e gratuita na Semana Nacional de Ciência e Tecnologia é promovida pelo Ministério da Ciência, Tecnologia, Inovações e Comunicações, e busca despertar o interesse de crianças e jovens para a área, além de popularizar a ciência. O tema do ano foi a ""A Matemática está em tudo"". ",Diamantina,
CURSOS CURTA DURAÇÃO,,
1.  I Congresso dos Técnicos em Segurança do Trabalho do Norte de Minas. Congresso que contou com a parceria do Sindicato dos Técnicos em Segurança do Trabalho de Minas Gerais que enfocou temas relacionados a atualidade da atuação do profissional da Segurança do Trabalho.,Montes Claros,
1. Produção de Fitoterápicos simples. ,Salinas,
2. Curso de Inglês Nível Elementar,Salinas,
3. Aproveitamento integral dos Alimentos,Salinas,
4. Queijo Cabacinha - Aspectos legais de produção e comercialização. ,Salinas,
5. Apicultura Básica. ,Salinas,
6. Reprodução Induzida em Peixes,Salinas,
"7. Curso Teórico prático de ""Ia"" em bovinos ",Salinas,
8. Curso Teórico-prático de nutrição em equinos. ,Salinas,
9. Minicurso de Biossegurança em Laboratório de ,Salinas,
10. Microbiologia,Salinas,
11. Curso de Horticultura.,Salinas,
SEMINÁRIO,,
1. A I Jornada de Tecnologia da Informação é um evento de iniciativa do núcleo do curso para complementar e atualizar conhecimentos técnicos na área. ,Araçuaí,
"2. O Minicurso ""A origem do Fascismo"" foi organizado para a discussão da temática proporcionando uma visão panorâmica sobre as origens do fascismo. ",Araçuaí,
"3. I Seminário de Agrimensura, organizado para apresentar temas pertinentes à área aos discentes e comunidade em geral.",Araçuaí,
"1. Seminário Integrado de Eventos, Semana do Meio Ambiente e Semana Nacional de Ciência e Tecnologia, Simpósio de Administração e Semana das Ciências Agrárias. ",Arinos,
1. I Seminário Institucional intercampus do PIBID/IFNMG ,Januária,
"1. IV Semana Interna de Prevenção de Acidentes do Trabalho - SIPAT tem como objetivo conscientizar sobre a importância de eliminar os acidentes do trabalho e criar uma visão vigilante nos colaboradores para que os mesmos possam atuar de forma responsável, segura e comprometida. ",Montes Claros,
"2. Seminário de Processos Industriais O Seminário de Processos Industriais (SEMPI) é um evento que objetivou a divulgação dos trabalhos de iniciação científica, revisão bibliográfica e resumos expandidos desenvolvidos na instituição, realizados por alunos da graduação e da iniciação científica com uma abordagem a cerca dos processos industriais. ",Montes Claros,
"3. Welcomp 2017 - O WelComp IF 2017 foi um encontro envolvendo os docentes e discentes do curso superior em Ciência da Computação do IFNMG, campus Montes Claros, realizado com o objetivo de dar as boas vindas aos alunos ingressantes e, consequentemente, promover a integração entre as turmas novas e antigas do curso. O evento contou com a apresentação do Plano Politico Pedagógico do curso, regulamentos de TCC e Atividades Complementares, as linhas de trabalho/pesquisa dos professores e os principais trabalhos desenvolvidos pelos alunos veteranos na forma de pôsteres e apresentações orais. ",Montes Claros,
"1. Seminário composto por 4 palestras e um debate final, em que discentes do curso técnico em Segurança do Trabalho apresentaram temas relativos à segurança e saúde no ambiente de trabalho. O seminário contou, também, com a parceria do Corpo de Bombeiros Militar de Minas Gerais.",Pirapora,
1. Projeto Piloto: Monitoramento e controle de Aedes aegypti por armadilhas em Salinas - MG. ,Salinas,
1. I Seminário Construindo Agroecologia no Vale do Mucuri,Teófilo Otoni,
 I Seminário do NAPNE,Teófilo Otoni,
CICLO DE DEBATES,,
"1. Reunião com pequenos produtores rurais de Santo Antônio do Jacinto, MG, para tratar sobre ações para estudo, diagnóstico e recuperação de nascentes ",Almenara,
1. Debates sobre o dia da Consciência Negra ,Arinos,
"1. O evento teve por objetivo, oportunizar reflexões sobre temas relevantes para a sociedade contemporânea, tais como: racismo, homofobia, questões ligadas às aflições da juventude, educação (escola sem partido), violência contra a mulher, uso de drogas. ",Janaúba,
1. Ciclo de Palestras IFNMG-APAC,Teófilo Otoni,
PALESTRA E MESA REDONDA,,
1.Prevenção do câncer de mama e colo de útero,Almenara,
2. Aspectos clínicos e epidemiológicos do câncer de próstata,Almenara,
3. Mandionocultura no baixo Jequitinhonha,Almenara,
"1. Palestras sobre ações inclusivas, Sexo e Doenças Transmissíveis. Drogas, Empreendedorismo, Empreendedores de Sucesso, Palestras Motivacionais, etc",Arinos,
"1. Palestras e minicurso oferecidos gratuitamente aos alunos do IFNMG-Campus Diamantina. As duas palestras foram ministradas por Wellington Silva, Professor de Informática do IFNMG-Campus Januária, graduado em Tecnologia em Análise e Desenvolvimento de Sistemas e pós-graduado em Redes de Computadores. No encontro, o professor falou sobre como empreender na Internet e sobre sua experiência como youtuber. O evento aconteceu no Auditório do IFNMG-Campus Diamantina e ofereceu gratuitamente um minicurso de Edição de vídeos. O público contou com alunos do campus Diamantina, bem como participantes da comunidade externa. ",Diamantina,
1. Público: alunos do 1? ano das escolas públicas e privadas. Preparação para o vestibular seriado. ,Janaúba,
1. Diálogos da Docência: Ensino Médio em Reforma: entre o proposto e o necessário,Januária,
2. Animais Peçonhentos e Primeiros Socorros ,Januária,
3. Empreendedorismo Sustentável ,Januária,
4. I Ciclo de Palestras sobre TEA de Januária,Januária,
5. Certificação de Produtos Orgânicos ,Januária,
6. Como ganhar dinheiro fácil na internet ,Januária,
7. Oportunidades de Trabalho na área de TI na Modalidade Home Office. ,Januária,
1. I Treinamento Prático sobre escrita e submissão de projetos de extensão - Treinamento para escrita e submissão de projetos de extensão em editais com foco nos editais do IFNMG,Montes Claros,
"2. Ao infinito e além - um encontro com a nasa - Gabe Gabrielle é engenheiro, educador e palestrante motivacional. Ele conta sua trajetória no programa espacial da nasa com fotos e vídeos, inspirando crianças, professores e outros profissionais. A gabe possui uma abordagem descontraída que toca as pessoas. Ele encoraja a todos a seguirem seus sonhos, não importa as circunstâncias. Gabe mostrará o lançamento do ônibus espacial, astronautas vivendo na estação espacial, os robôs exploradores e a curiosa jornada de pousar em marte, além de falar do futuro do programa espacial. Um astronauta tem que estabelecer objetivos e se divertir todos os dias, assim os sonhos se tornam realidade. ",Montes Claros,
"3. Qualidade de vida e percepção de hábitos saudáveis entre estudantes do ensino básico, técnico, tecnológico do Instituto Federal do Norte de Minas Gerais - Campus Montes Claros-MG: Apresentar a discussão sobre qualidade de vida entre os discentes do IFNMG-Campus Montes Claros. ",Montes Claros,
"4. Minha experiência na maratona de programação: Fábio Dias Moreira, vencedor e vice-vencedor da Maratona de Programação, ganhador de mais de 30 medalhas em competições acadêmicas, conta sua experiência em competições de programação; ",Montes Claros,
"5. Fator Acidentário Previdenciário - FAT: Contextualizar os desafios e perspectivas do trabalho, potencializar a aproximação dos profissionais da área de Segurança do Trabalho ao mercado de Trabalho e compreender os principais desafios dos profissionais no ambiente laboral ",Montes Claros,
