TÍTULO,NOME COORDENADOR,CAMPUS
Projeto de extensão para desenvolvimento da candidatura do IFNMG - Campus Almenara ao programa PEA Unesco ,Alfredo Costa,Almenara
CineCampus: A sétima arte em formação,Pedro Herinque Prado da Silva,Almenara
 Proposição de estratégias educacionais para divulgação de softwares livres em Almenara /MG ,Alfredo Costa,Almenara
 Utilização da vegetação nativa na alimentação animal com estratégia de sobrevivência com a seca ,Samuel Real Mota,Almenara
 Acompanhamento dos Egressos do IFNMG/Campus Almenara ,Benedita Silveira Neta,Almenara
" Importância Cultural e Etnobotânica das Plantas Medicinais em Comunidades da Reserva Biológica da Mata Escura, Minas Gerais ",Joaquim Neto de Sousa Santos,Almenara
 Feiras Livres e Agricultura familiar no baixo Jequitinhonha ,Eduardo Charles Barbosa Ayres,Almenara
 IFMUNDO - Modelo de Simulação da ONU do IFNMG- Almenara ,Alex Lara Martins,Almenara
 Grupo de Gestantes mães do vale: Estratégia para Educação em saúde no pré-natal,Daiane Prates Mendonça,Almenara
 Projeto Praças de Literatura,Leonardo Machado Palhares,Almenara
Banco de Germoplasma: Estratégia para a Conservação de Etnovariedades de Mandioca do Vale do Jequitinhonha ,Fábio Martins de Carvalho,Almenara
 Construção de apiário para capacitação de produtores e estudantes na prática de apicultura,Edmilson Alves Barbosa,Almenara
 Projeto Guarda Chuva: levantamento e estudo das demandas das comunidades rurais do município de Almenara ,Joaquim Neto de Sousa Santos,Almenara
 Sistema e custos de produção de mandioca em Almenara/MG,Fábio Martins de Carvalho,Almenara
" Cenário da agricultura familiar na sub-bacia do rio Panela, Almenara ",Marival Pereira de Sousa,Almenara
 Cidade Nova Digital II ,Thiago Bicalho Ferreira,Almenara
 Valebasquete ,Pedro Herinque Prado da Silva,Almenara
 Escritório de Projetos Agrocampo: Uma ferramenta de promoção da extensão rural e fortalecimento da Agricultura Familiar do Baixo Vale Jequitinhonha ,Paulo Eduardo Ferreira dos Santos,Almenara
 Clube da Robótica,Alan Teixeira de Oliveira,Almenara
Rádio Cultura IF,Rômulo Lima Meira,Almenara
 Educação ambiental para crianças ,Rômulo Lima Meira,Almenara
 Educação em saúde: promovendo a Qualidade de vida ,Rosângela Ferreira Ribeiro,Almenara
 Cinema na comunidade: a arte como direito de todos ,Virgínia de Souza Avila Oliveira,Almenara
 E-lixo também é lixo,Fernanda Pereira Santana,Almenara
 Novembro azul: Estratégia para preservação do câncer de próstata ,Daiane Prates Mendonça,Almenara
 PetSolidário ,Fernanda Pereira Santana,Almenara
