TÍTULO,NOME COORDENADOR,CAMPUS
Introdução à Informática e Conceitos de Programação para Jovens e Adultos na Comunidade Atendida pela Escola Estadual Laudelina Dias Lacerda,Thiago Bicalho Ferreira,Almenara
Health Life - software para gerenciamento de vacinação nos postos de saúde,Marcos Vinicius Montanari,Almenara
"Lixo Eletrônico: Inclusão Digital, Reaproveitamento e Reciclagem de Equipamentos de Informática",Marco Aurelio Madureira de Carvalho,Almenara
Jogos Matemáticos: uma estratégia significativa de ensino,Waldilainy de Campos,Almenara
Cidade Nova Digital III,Paulo Sergio Henrique dos Santos,Almenara
Ensino de Informática para jovens e adultos de Almenara-MG no centro estadual de educação continuada (CESEC) Querobim Fróis Otoni,Thiago Bicalho Ferreira,Almenara
Análise da qualidade da água para o consumo humano na comunidade rural Pedro Perdido do município de Jordânia - MG,Roberta Pereira Matos,Almenara
Oficinas de Gestão em comunidades rurais no município de Almenara-MG,Luiz Celio Souza Rocha,Almenara
Divulgação o potencial turístico do Vale do Jequitinhonha através do desenvolvimento de Um museu virtual,Rafael Porto Viana,Almenara
Manejo Integrado de Plantas Daninhas na Cultura da Mandioca no Município de Palmópolis,Edimilson Alves Barbosa,Almenara
Futuro Conectado: Aulas básicas de informática para adultos e idosos da comunidade escolar.,Paulo Sergio Henrique dos Santos,Almenara
"Plantas Alimentícias não Convencionais (PANCs) nas Comunidades Rurais do Município de Almenara - MG: hábitos culturais, opção nutricional e sustentabilidade",Joaquim Neto de Sousa Santos,Almenara
Sistema automatizado de irrigação sustentável,Marco Aurelio Madureira de Carvalho,Almenara
Mulheres Mil e Uma Vozes,Virginia de Souza Avila Oliveira,Almenara
Resgate e valorização do milho crioulo: Elevação da qualidade das sementes pelo pequeno produtor,Jose Maria Gomes Neves,Almenara
Desenvolvimento de Protótipo de um Sistema Autônomo para Monitoramento e Operação de um Sistema Aquapônico,Marcos Vinicius Montanari,Almenara
Preparo e utilização de caldas naturais para controle de doenças e pragas no cultivo agroecológico em comunidades rurais do Município de Almenara - MG,Jose Maria Gomes Neves,Almenara
Manejo de Plantas Daninhas em Sistema de Consórcio de Mandioca e Milho,Edimilson Alves Barbosa,Almenara
Análise da Qualidade Sanitária do Leite nos Municípios do Baixo Jequitinhonha,Paulo Eduardo Ferreira dos Santos,Almenara
Manejos Agroecológicos em Horticultura: o protagonismo da agricultora familiar na garantia da segurança alimentar e nutricional do campo e da cidade,Lays Araujo Nery,Almenara
Projeto de Extensão: Matemática para o ENEM 2018,Jandresson Dias Pires,Almenara
Sistema para Acompanhamento do JIFENMG 2018,Rafael Porto Viana,Almenara
Aprendendo e ensinando em casa e na comunidade,Tania Maria Mares Figueiredo,Almenara
Projeto Institucional De Sustentabilidade Ambiental - Eixo Resíduos Sólidos,Edimilson Alves Barbosa,Almenara
Acompanhamento de Egressos,Uendel Goncalves de Almeida,Almenara
Elaboração do Portfólio de Oportunidades do IFNMG,Paulo Eduardo Ferreira dos Santos,Almenara
"Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões",Romulo Lima Meira,Almenara
Desenvolvendo o Empreendedorismo Local: Ações Extensivas Para Novos Negócios e Execução do Clube do Empreendedor,Paulo Eduardo Ferreira dos Santos,Almenara
