Projetos de Pesquisa Cadastrados em 2018,,
Campus,Título,Nome Coordenador
Alamenara,Intervenção na Prevenção e Controle do Tabagismo na Unidade Básica de Saúde “São Judas Tadeu”,Rosângela Ferreira Ribeiro
Alamenara,Estratégias para Enfrentamentos aos Agravos À Saúde da Comunidade Escolar,Valéria Gonzaga Botelho
Alamenara,Planejamento Estratégico Aplicado a Micro e Pequenas Empresas: Um estudo com uma Empresa do Setor Varejista de GLP em Almenara-MG,Emanuelly Alves Pelogio
Alamenara,Qualidade de Vida no Trabalho: Estudo de Caso Entre a Percepção de Professores de Escola Pública e Privada no Município de Almenara,Aline Márcia Carraro Borges
Alamenara,Bobchurras: Solução Tecnológica em E-Ecommerce para Dinamização Comércio de Insumos para Churrasco em Almenara-MG,Thiago Bicalho Ferreira
Alamenara,Dinâmica e Ecologia de Plantas Daninhas na Cultura da Cana-de-açúcar,Edimilson Alves Barbosa
Alamenara,Segurança Hídrica e Alimentar de Agrícola de Agricultoras Feirantes do Vale do Jequitinhonha,Vico Mendes Pereira Lima
Alamenara,Inovações Tecnológicas para o Cultivo do Morangueiro na Região do Baixo Jequitinhonha ,José Maria Gomes Neves
Alamenara,Cidadão do Vale: Desenvolvimento de Aplicativo para Coleta Voluntária de Informações Geográficas,Alfredo Costa
Alamenara,Aperfeiçoamento da Extensão Perfil UML GeoProfile para Modelagem de Dados Geográficos com Posições ou Limites Incertos,Thiago Bicalho Ferreira
Alamenara,Desenvolvimento de Método Analítico para Determinação de Elementos Inorgânicos em Amostras de água do Rio Jequitinhonha,Ednilton Moreira Gama
Alamenara,A Formação do Docente que Ministra Aulas de Química e Ciência nas Escolas Estaduais da Superintendência Regional de Ensino de Almenara – MG,Roberta Pereira Matos
Alamenara,Dinâmica e Ecologia de Plantas Daninhas na Cultura da Cana-de-açúcar,Edimilson Alves Barbosa
Alamenara,A Interação Oral na Língua Espanhola: O Desenvolvimento dos Alunos do Campus Almenara nos Projetos de Simulação das Conferências da ONU,Rosilene dos Anjos Santana 
Alamenara,A Aprendizagem de Língua Espanhola: Experiências com Intercâmbio de Gêneros Discursivos,Rosilene dos Anjos Santana 
Alamenara,Arborização Urbana e sua Adequada na Cidade de Almenara MG,Lays Araújo Nery
Alamenara,Experimentação em Química no Curso Técnico em Agropecuária em Regime de Alternância: Construção de Propostas Direcionadas ao Ensino no IFNMG Campus Almenara,Janainne Nunes Alves
