Projetos de Pesquisa Cadastrados em 2016,,
Campus,Título,Coordenador do Projeto
Almenara,"Perfil Sócio Demográfico, Saúde, Lazer, Cultura e Atividade Física da População no Município de Almenara",Pedro Henrique Prado da Silva
Almenara,Proposta de Utilização do Arduíno em Aplicações nas Ciências Agrárias,Thiago Nogueira Tolentino Barbosa / Marco Aurélio Madureira de Carvalho 
Almenara,Interface Homem-Máquina: Entre a Filosofia e a Ciência ,Alex Lara Martins 
Almenara,Educação físico e corpo: uma análise dos escritos e experiências libertárias. ,Pedro Henrique Prado da Silva
Almenara,Capital de Giro e Mortalidade de Micro e Pequenas Empresas no Baixo Vale Jequitinhonha: As Ferramentas para uma Gestão Profissionalizada,João Leandro Cássio de Oliveira
Almenara,Estudos da Monitoria como Incentivo a Formação Docente: O caso do IFNMG no Campus Almenara ,João Leandro Cássio de Oliveira
Almenara,Criação de Empresas à Luz do Modelo de Decisão Effectuation: Um Estudo com Mulheres Empreendedoras no Município de Almenara/ MG,Emanuelly Alves Pelogio
Almenara,Diagnóstico da Economia Informal no Município de Almenara/ MG,Emanuelly Alves Pelogio
Almenara,A Violência Contra Idosos Segundo Dados da Polícia Militar do Município de Almenara – MG,Mariana Mapelli de Paiva
Almenara,Controle e Prevenção do Tabagismo em Unidade Prisional do Município de Almenara – MG,Rosângela Ferreira Ribeiro
Almenara,"Estudo Clínico para Avaliação da Eficácia e Segurança do Uso Intralesional de Antimoniato de Meglumina no Tratamento de Leishmaniose Cutânea Localizada, no Vale do Jequitinhonha",Rosângela Ferreira Ribeiro
Almenara,Avaliação dos Sistemas de Produção Leiteira na Micro-Região de Almenara-MG,Paulo Eduardo Ferreira dos Santos
Almenara,"Morfometria Corporal de Equinos Utilizados em Trabalho, Esporte e Lazer em Três Municípios do Baixo Vale do Jequitinhonha",Paulo Eduardo Ferreira dos Santos
Almenara,Desenvolvimento de Jogos Digitais Como Instrumento de Conscientização de Jovens a respeito do Mosquito Aedes Aegypti,Thiago Bicalho Ferreira
Almenara,"Diga-me Lá… “Por Que o Estudo da História da África, dos Afrobrasileiros e dos Povos Indígenas Hoje” A Construção do Sentido da História e do Estudo da História dos “Outros” na Cidade de Almenara-MG",Leonardo Machado Palhares
Almenara,Implantação do Horto Medicinal no IFNMG Campus Almenara,Edmilson Alves Barbosa
Almenara,"Relação entre o Uso do Solo e o Índice de Atropelamento de Animais Silvestres: Estudo de Caso na BR-367 (Trecho entre Almenara e Jequitinhonha), Minas Gerais - Brasil",Joaquim Neto de Sousa Santos
Almenara,Feiras Livres no Baixo Jequitinhonha,Eduardo Charles Barbosa Ayres
Almenara,Desenvolvimento de Protótipo de Um Sistema Autônomo para Monitoramento e Operação de Um Sistema Aquapônico,Marcos Vinícius Montanari
Almenara,Plantas de Cobertura para a Rotação de Culturas Sob Plantio Direto,Edmilson Alves Barbosa
Almenara,Avaliação das Metodologias e dos Ingredientes Utilizados na Produção de Sabão a Partir do Resíduo de Óleo de Cozinha,Roberta Pereira Matos
Araçuaí,Modelagem de Construção de um Perfil de Liderança Estudantil Fundamentada no Futuro Profissional e Social ,Bruno Pelizzaro Dias Afonso 
Araçuaí,Juventude Rural no IFNMG – Campus Araçuaí.: Desafios e Perspectivas dos Jovens Rurais no Contexto da Educação Técnica. ,Fabiano Rosa de Magalhães
Araçuaí,LAB_IOT: Desenvolvimento de Soluções para Controle de Consumo de Energia Elétrica,Josué Batista Antunes
Araçuaí,O Uso do Ciclo Investigativo na Disciplina Estatística Básica: Estudo de Uma Experiência no Curso Superior de Tecnologia em Gestão Ambiental. ,Mario de Souza Santana 
Araçuaí,Distinção de Culturas de Plantio no Município de Araçuaí Utilizando Sensoriamento Remoto. ,João Luiz Jacintho
Araçuaí,Memórias e Identidades: Um olhar Organizacional Sobre o Mercado Municipal de Araçuaí. ,Raquel de Oliveira Barreto
Araçuaí,Construção de um Manual de Roteiros Experimentais para o Ensino de Química Nível Médio Adequado ao Cotidiano dos Alunos do IFNMG Campus Araçuaí. ,Janainne Nunes Alves
Araçuaí,Proposta de Desenvolvimento de Software para Gestão de Projetos de Pesquisa e Inovação dos Campi do Instituto Federal do Norte de Minas Gerais. ,Felipe Túlio de Castro
Araçuaí,Filosofia em Cordel: A Criação de Cordéis como Instrumentos Didáticos no Ensino de Filosofia,João Uilson Vieira Filho
Araçuaí,Identificação e Georreferenciamento de Sítios Arqueológicos com Figurações Rupestres nas Imediações de Itinga/MG ( continuação),Edi de Freitas Cardoso Júnior
Araçuaí,Estudo da Expansão do Desmatamento na Cidade de Coronel Murta entre os anos de 1995 a 2015. ,João Jachinto
Araçuaí,Avaliação de extratos vegetais do município de Araçuaí-MG sobre a inibição de Panicum maximum. ,Janainne Nunes Alves
Araçuaí,Contextualização do Ensino de Botânica: elaboração anatomia vegetal com espécies ocorrentes no IFNMG Campus Araçuaí. ,Lays Araújo Nery
Araçuaí,"Criação Sustentável de Jataí (Tetragonisca Angustula) no IFNMG, Campus Araçuaí, MG",Silemar Maria Lelis
Arinos,Avaliação do consórcio de cenoura com alface em sistema de produção orgânico ,Ana Amélia dos Santos Cordeiro
Arinos,"Levantamento Florístico de espécies arbóreas localizadas na região central do município de Arinos, Minas Gerais. ",Cinthia Gracielly Rodrigues 
Arinos,Análise da Gestão dos Recursos Hídricos no Campus Arinos do Instituto Federal do Norte de Minas Gerais,Antônio Fábio Silva Santos 
Arinos,Reciclagem do Óleo de Cozinha,Elton Carlos Grossi
Arinos,Caracterização das Polpas de Frutas do Cerrado Processadas pela Copabase/Arinos-MG,Elton Carlos Grossi
Arinos,Avaliação Agronômica de Diferentes Cultivares de Alface no Município de Arinos – MG,Juliana Maria Nogueira Pereira
Arinos,Avaliação de Bactérias Fixadoras de Nitrogênio em Sementes e Plantas de Feijão Caupi e Feijoeiro Comum em Arinos – MG,Luana Silva Botelho
Arinos,A Implantação do IFNMG no Município de Arinos: Tramas de uma Nova Dinâmica Sociocultural,Juliana Lopes Lelis de Morais
Arinos,Avaliação do Desempenho de Seis Cultivares de Alface Cultivada Sob Manejo Orgânico,Ana Amélia dos Santos Cordeiro
Arinos,Avaliação do Maxixeiro em Diferentes Sistemas de Condução da Cultura no Município de Arinos-MG,Francisco Valdevino Bezerra Neto
Diamantina,Avaliação da Produção de Biomassa de Clones de Corymbia SSP,Emerson Delano Lopes
Diamantina,Edificando a Cidade do Diamante: Sistematização de Informações acondicionados no acervo do IPHAN/Diamantina sobre a cidade candidata a patrimônio da Humanidade em 1998/1999.,Dayse Lúcide Silva Santos
Diamantina,Imprensa e Educação – o Caso do Correio de Itabira (1891 – 1906),Clarice Lisandra David
Janaúba,Gestão Estratégica dos Recursos Públicos: Superação de Limitações Impostas pelo Princípio da Anualidade Orçamentária ao Planejamento Estratégico nas Instituições Federais,Cléber Roberto Souza
Janaúba,Percepção de Risco do Uso de Agrotóxicos entre Agricultores Feirantes e Estudantes do Curso de Gestão Ambiental na Região do Médio Jequitinhonha,Fábio Coutinho Andrade
Janaúba,Processo de Constituição da Identidade: Significações Atribuídas Pelos Moradores da Comunidade Quilombola Marques,Dayse Aparecida Silva Pereira Coutinho
Janaúba,Simulações em Ensino de Física Usando Linguagens de Programação,Júlio Cézar Barbosa Rocha
Januária,A inclusão de alunos com necessidades especiais no ensino médio: dificuldades e desafios no ensino de Biologia nas escolas estaduais de januária-MG,Joelma de Fátima Mendes Bandeira
Januária,"Acúmulo de forragem, características morfogênicas e estruturais do capim Buffel cv. Áridus manejados em três alturas de corte nas condições do Norte de Minas Gerais",Jussara Barros Silva
Januária,Administração financeira em micro e pequenas empresas na cidade de Januária/MG: uma análise de sua conjuntura,Eduardo Cabral da Cruz
Januária,"ANÁLISE  ESPAÇO-TEMPORAL  DOS  FRAGMENTOS  FLORESTAIS  NA  BACIA  HIDROGRÁFICA  DO  RIO  CATOLÉ,  BONITO  DE MINAS – MG",Danilo Pereira Ribeiro
Januária,Análise do Potencial Fitorremediador de Duas Espécies Nativas do Cerrado (Plumbago Scandens L. e Myracrodruon Urundeuva Allemão) Cultivadas em Solos Contaminados Por Chumbo,Tattiane Gomes Costa
Januária,"Análise microbiologia da qualidade da água de córrego no distrito do Brejo do Amparo, município de Januária-MG",Luiz Carlos Ferreira
Januária,As graduações no contexto do Campus de Januária (IFNMG): uma análise dos cursos sob a ótica dos acadêmicos egressos,Joelma de Fátima Mendes Bandeira
Januária,Atualização dos Valores de Balanço Eletrolítico para Leitões em Fase de Creche,Jussara Barros Silva
Januária,"AVALIAÇÃO  E  COMPARAÇÃO  DA  COMPOSIÇÃO  QUÍMICA,  POTENCIAL  ANTIOXIDANTE  E ANTIMICROBIANO DAS FOLHAS DE ANACARDIUM OCCIDENTALE L. (CAJU) E ANACARDIUM HUMILE ST. HIL (CAJUZINHO-DO-CERRADO)",Luiz Carlos Ferreira
Januária,Avaliação da concentração de metais pesados em áreas de deposição de resíduos sólidos no município de Januária- Minas Gerais,Patrícia Conceição Medeiros
