Projetos de Pesquisa Cadastrados em 2017,,
Campus,Título,Nome Coordenador
Almenara,Da Maternidade Linguística ao Discurso: Possíveis Gestos de Interpretação e de Autoria na Produção Textual em Língua Inglesa,Christiano Titonelo Santana
Almenara,A Percepção das Puérperas Sobre as Ações Educativas Realizadas Durante o Pré-Natal na Atenção Básica de Saúde,Diane Prates Mendonça
Almenara,Desenvolvimento de uma Plataforma Digital para Integração Tecnológica Entre o Varejo do Baixo Jequitinhonha com o E-Commerce,Tiago Bicalho Ferreira
Almenara,IFAPP – Desenvolvimento de um Software Aplicativo para Auxiliar o Trabalho Escolar,Marcos Vinícius Montanari
Almenara,Divulgação do Potencial Turístico do Vale do Jequitinhonha Através do Desenvolvimento de um Museu Virtual – Catalogação dos Recursos e Belezas Naturais,Rafael Porto Viana
Almenara,IFVIRTUAL – Desenvolvimento de uma Representação Virtual do IFNMG Campus Almenara,Rafael Porto Viana
Almenara,"Monitoramento da Oferta dos Produtos da Agricultura Familiar na Feira Livre do Município de Jequitinhonha, MG",Eduardo Charles Barbosa Ayres
Almenara,O Modelo de Organização Internacional no Instituto Federal do Norte de Minas Gerais (IFMUNDO) – Impactos e Possibilidades,Alex Lara Martins
Almenara,"Lixo Eletrônico: Inclusão Digital, Reaproveitamento e Reciclagem de Equipamentos de Informática",Rafael Porto Viana
Almenara,Avaliação do Perfil Bromatológico de Volumosos Tratados com Uréia,Antônio Eustáquio Filho
Almenara,Um olhar sob o Ensino de Língua Estrageira: Mapeamento dos Eixos Recursos Naturais e Comunicação e Informação. ,Rosilene dos Anjos Sant'Ana 
Almenara,Implantação e Avaliação de Banco de Germoplasma de mandioca no baixo Jequitinhonha ,Fábio Martins de Carvalho
Almenara,Produção de mudas de hortaliça utilizando subtratos e recipientes alternativos para atender o pequeno produtor do Município de Almenara ,José Maria Gomes Neves
Almenara,PAEC: Programa de Alfabetização das Escolas do Campo,Tânia Maria Mares Figueredo
Araçuaí,Reflexão Sobre as Práticas de Gestão de Estoques Adotadas em Micro e Pequenas Empresas de Varejo,Bruna Oliveira Rosa
Araçuaí,Proposta de Implantação e Avaliação de Software para Gestão de Projetos de Pesquisa e Inovação do Instituto Federal do Norte de Minas Gerais – Campus Araçuaí,Felipe Túlio de Castro
